Step,"field=3,degree=1",,,"field=3,degree=2",,,"field=3,degree=3",,,"field=3,degree=4",,,"field=3,degree=5",,,"field=3,degree=6",,
62,2.169860601,,,2.642815113,,,2.436547279,,,4.088546276,,,3.124702454,,,2.437963009,,
63,2.456851482,,,2.175292015,,,2.590752125,,,2.436943531,,,2.270326138,,,2.735088587,,
64,2.140773296,,,1.930233479,,,1.842106223,,,2.04200983,,,1.955003738,,,2.321990967,,
65,1.716385722,,,1.739181995,,,1.70449698,,,1.819782376,,,2.256522179,,,2.063827753,,
66,1.636637926,,,1.495586872,,,2.264502764,,,1.530295253,,,1.714743018,,,1.445600033,,
67,1.332283974,,,1.592849612,,,1.234722972,,,1.265716076,,,1.285532713,,,1.253147244,,
68,1.082187891,,,1.13378334,,,1.271284103,,,1.093733072,,,1.02304852,,,1.257035494,,
69,1.148313642,,,1.063653946,,,1.111736536,,,1.13805151,,,1.200320959,,,1.202699184,,
70,0.886803269,,,1.089371681,,,0.818550348,,,0.94362694,,,0.997828782,,,0.897924423,,
71,0.83340621,,,0.783863902,,,0.761275172,,,0.728971779,,,0.744398594,,,0.689808249,,
72,0.821561038,,,0.648134172,,,0.587909698,,,0.625646412,,,0.573802412,,,0.353582561,,
73,0.836050272,,,0.592831969,,,0.604687095,,,0.578422308,,,0.531634212,,,0.463525474,,
74,0.760804713,,,0.584363461,,,0.586666644,,,0.531401694,,,0.473133206,,,0.506516695,,
75,0.65919596,,,0.465186268,,,0.476155609,,,0.391849279,,,0.408910692,,,0.392526835,,
76,0.781152487,,,0.393979132,,,0.380589515,,,0.328930497,,,0.378744483,,,0.25337109,,
77,0.748394847,,,0.352058113,,,0.341184914,,,0.215336293,,,0.204753652,,,0,,
78,0.6662305,,,0.509859562,,,0.449897051,,,0.339877963,,,0.361284256,,,0.271156788,,
79,0.757690251,,,0.559776604,,,0.542985439,,,0.484996587,,,0.544864893,,,0.475774467,,
80,0.80553174,,,0.609331131,,,0.618800402,,,0.515794635,,,0.647868156,,,0.562897623,,
81,0.887637496,,,0.585865378,,,0.57409054,,,0.594772279,,,0.586424649,,,0.593364835,,
82,0.880794525,,,0.767782211,,,0.598484635,,,0.573294342,,,0.464346588,,,0.441460371,,
83,0.908947051,,,0.917164564,,,0.786888659,,,0.763978481,,,0.710403442,,,0.6945678,,
84,1.088568568,,,1.007247567,,,0.838124275,,,1.040593624,,,0.924168169,,,1.042716861,,
85,1.26779151,,,1.240703821,,,1.156791925,,,1.08416748,,,1.464093924,,,1.108865976,,
86,1.496369958,,,1.350007534,,,1.278073311,,,1.155193925,,,1.201221943,,,1.166760445,,
87,1.765664816,,,1.631886005,,,1.599602342,,,1.176326394,,,1.270930648,,,1.267284155,,
