Step,"field=1,degree=1",,,"field=1,degree=2"
126,0.425403148,,,0
127,0.699913859,,,0.464267403
128,0.991125584,,,0.881546378
129,0.985932529,,,1.053090572
130,0.85867095,,,0.871149421
131,0.517021477,,,0.450950146
132,0.538176,,,0.494072944
133,0.767200053,,,0.757262468
134,0.919252992,,,0.97573328
135,0.907136858,,,0.831809402
136,0.684275508,,,0.457934082
137,0.362648338,,,0
138,0.701628804,,,0.359055281
139,0.804124236,,,0.598687947
140,0.761074364,,,0.691833973
141,0.70509243,,,0.826299846
142,0.423243105,,,0.455307394
143,0.53493005,,,0.347679466
144,0.586876154,,,0.59986496
145,0.706366897,,,0.649899006
146,0.718784451,,,0.55427295
147,0.561460972,,,0.33624512
148,0.381299764,,,0
149,0.709057808,,,0.400525689
150,0.838378429,,,0.673730671
151,0.836153388,,,0.695751905
152,0.722106874,,,0.724837244
153,0.489445925,,,0.470791191
154,0.486784488,,,0.419199079
155,0.687945247,,,0.743557692
156,0.622076452,,,0.651676536
157,0.679960251,,,0.5316149
158,0.572750628,,,0.352157772
159,0.371467203,,,0
160,0.706995904,,,0.372890294
161,0.896336913,,,0.688942671
162,0.810828567,,,1.167694092
163,0.948878825,,,1.037979841
164,0.570245445,,,0.457222432
165,0.533906281,,,0.421598375
166,0.834883749,,,0.812196732
167,0.918279529,,,0.957060575
168,0.83570981,,,0.695285678
169,0.861343145,,,0.510957718
170,0.446285844,,,0
171,0.612883031,,,0.359581083
172,0.858746886,,,0.688891768
173,0.86332953,,,0.870308876
174,1.124628663,,,1.015505433
175,1.0028584,,,0.948477685
176,0.515632689,,,0.325252384
177,0.621571541,,,0.645596623
178,0.756955802,,,0.788631797
179,0.866499901,,,0.823465705
180,0.835392475,,,0.602443516
181,0.640241027,,,0
182,0.917755842,,,0.64330554
183,0.9427706,,,0.844671607
184,0.983325422,,,1.024380088
185,0.831583261,,,0.86532557
186,0.779492676,,,0.58337456
187,0.723554015,,,0.724057853
188,0.905923843,,,0.865345716
189,0.792353272,,,0.921095669
190,1.060696006,,,0.735914946
191,0.868395329,,,0.486254454
192,0.640618086,,,0
193,0.889173746,,,0.559263229
194,1.07850945,,,0.797652245
195,1.34038651,,,1.36650598
196,1.228607655,,,1.09274292
197,0.733467579,,,0.673565328
198,0.80469203,,,0.735653043
199,1.036944151,,,1.032806516
200,1.069362879,,,1.097423911
201,1.324451566,,,1.141755223
202,0.925899982,,,0.654965341
203,0.55009824,,,0
204,0.913829565,,,0.5509395
205,0.903120041,,,0.763463736
206,0.860155344,,,0.978674889
207,0.936728716,,,1.040319204
208,0.754618227,,,0.592152596
209,0.75672704,,,0.678030133
210,1.155268669,,,1.220078349
211,0.866519153,,,0.865790367
212,0.769611895,,,0.556547165
213,0.758006394,,,0.440116853
214,0.530158162,,,0
215,0.733927846,,,0.473294258
216,0.846330881,,,0.653629184
217,0.852326274,,,0.75161016
218,0.823006451,,,0.81477958
219,0.520864308,,,0.455939084
220,0.858317494,,,0.76481235
221,0.979154587,,,1.023710251
222,0.934873462,,,1.143810272
223,0.912927508,,,0.764443517
224,0.65268445,,,0.418310523
225,0.409534216,,,0
226,0.685150385,,,0.453471601
227,0.751062393,,,0.615776181
228,0.926660061,,,0.82445097
229,0.854863286,,,0.917126536
230,0.596570969,,,0.526014268
231,0.541270614,,,0.501311839
232,0.926470995,,,0.855967939
233,0.926955998,,,0.734923184
234,0.978244722,,,0.793537259
235,0.806222498,,,0.45689404
236,0.393606901,,,0
237,0.621024132,,,0.409727693
238,0.734385371,,,0.645523131
239,0.82820648,,,0.815579176
240,0.854121327,,,0.688249409
241,0.593130708,,,0.493478566
242,0.495140314,,,0.440717548
243,0.733897269,,,0.745710135
244,0.941057742,,,0.859473586
245,0.809942186,,,0.622640371
246,0.552696586,,,0.417249739
247,0.523958385,,,0
248,0.632168412,,,0.353938937
249,0.701769292,,,0.646075487
250,0.808590889,,,0.746136069
251,0.674091339,,,0.746793509
252,0.578552425,,,0.431163937
253,0.54183048,,,0.500622094
254,0.698579788,,,0.69316566
255,0.814132333,,,0.876129448
256,0.733305335,,,0.702382207
257,0.619836092,,,0.337413251
258,0.401267111,,,0
259,0.745735586,,,0.316299826
260,0.742124677,,,0.640106022
261,0.733614981,,,0.780107081
262,0.670908868,,,0.65381366
263,0.596206725,,,0.384297609
264,0.767672896,,,0.635640323
265,0.731276751,,,0.71953243
266,0.646019459,,,0.844578385
267,0.639430642,,,0.471906066
268,0.640849769,,,0.303130507
269,0.519810319,,,0
270,0.843293667,,,0.644141436
271,0.774158835,,,0.752991199
272,0.807027698,,,0.934933782
273,0.840578437,,,0.77013284
274,0.748139203,,,0.536908805
275,0.655055702,,,0.630877197
276,0.807518601,,,0.833646595
277,0.697086394,,,0.61396575
278,0.675906062,,,0.48964566
279,0.79399395,,,0.304092169
280,0.411423504,,,0
281,0.480970711,,,0.34844321
282,0.662942886,,,0.559908509
283,0.758954525,,,0.710638642
284,0.659838915,,,0.635078967
285,0.483015478,,,0.424983203
286,0.462620854,,,0.474093318
287,0.608436823,,,0.602085471
288,0.668849349,,,0.657445312
289,0.739756346,,,0.52316606
290,0.618405163,,,0.380356014
291,0.405036837,,,0
292,0.617527127,,,0.362940639
293,0.709080219,,,0.537508607
294,0.852464914,,,0.868892312
295,0.938213885,,,0.867597222
296,0.728970408,,,0.595149457
297,0.505488396,,,0.522016764
298,0.648335516,,,0.749598682
299,0.73400569,,,0.662445307
300,0.676070631,,,0.657349467
301,0.631798148,,,0.455509305
302,0.543361902,,,0
303,0.698667169,,,0.45836103
304,0.804944158,,,0.675075293
305,0.87072134,,,0.779209733
306,0.816287816,,,0.816434085
307,0.593529761,,,0.638536572
308,0.721943319,,,0.548545003
309,0.818118751,,,0.775306702
310,0.736755848,,,0.768374562
311,0.726198733,,,0.647394121
312,0.72940284,,,0.447444439
313,0.471563607,,,0
314,0.758677363,,,0.399191737
315,0.766085804,,,0.695375681
316,0.958611906,,,0.876879454
317,0.867940962,,,0.792129099
318,0.750583649,,,0.614635885
319,0.650366604,,,0.451512516
320,0.759232044,,,0.711675048
321,0.843512893,,,0.871416211
322,0.770948291,,,0.682507753
323,0.656932831,,,0.374818593
324,0.520211399,,,0
325,0.740957499,,,0.435446024
326,0.824694991,,,0.702717543
327,0.986707389,,,0.934466004
328,0.835478783,,,0.877450943
329,0.629359305,,,0.529461801
330,0.775718391,,,0.751621842
331,0.852149367,,,0.905220568
332,0.787659049,,,0.912994504
333,0.809657693,,,0.707943499
334,0.680042982,,,0.392025828
335,0.526683509,,,0
336,0.634903193,,,0.350968122
337,0.683298409,,,0.509845495
338,0.860765576,,,0.738781095
339,0.813952088,,,0.926401615
340,0.609988332,,,0.544235647
341,0.527508318,,,0.386433423
342,0.634105504,,,0.657625377
343,0.627168,,,0.743205786
344,0.672746539,,,0.546353221
345,0.701735258,,,0.345907867
346,0.575533569,,,0
347,0.694269538,,,0.420338303
348,1.125868797,,,0.999147534
349,1.203148842,,,1.041432619
350,1.084310889,,,1.128468394
351,0.85800159,,,0.747877598
352,0.619830728,,,0.517203331
353,0.928010106,,,0.798566103
354,1.061607003,,,1.059876442
355,0.985841393,,,0.878400803
356,0.705891848,,,0.492260456
357,0.58013618,,,0
358,0.891795993,,,0.528965712
359,0.959425569,,,0.743277907
360,0.915828943,,,0.980062902
361,1.088459134,,,1.109682083
362,0.763649583,,,0.716000259
363,0.859960258,,,0.764731705
364,0.870628595,,,1.00235796
365,1.009900689,,,1.14173317
366,0.813109517,,,0.632869124
367,0.850472569,,,0.350709587
368,0.633268714,,,0
369,0.819094718,,,0.392305851
370,1.058339238,,,0.818911076
371,1.108128548,,,1.005023003
372,1.248975039,,,0.938147187
373,1.217930913,,,1.061948657
374,0.852171063,,,0.650740564
375,1.259544611,,,0.9895491
376,1.483303905,,,1.50520587
377,1.123137712,,,1.13890779
378,1.031412959,,,0.863597751
379,0.561258852,,,0
380,0.821052551,,,0.523069143
381,0.98363018,,,0.807209969
382,1.14648211,,,1.121734142
383,1.25660181,,,1.530035019
384,1.098334432,,,0.910297632
385,0.701702774,,,0.607132256
386,1.162576437,,,1.283588886
387,1.213930726,,,1.131497264
388,1.073610425,,,0.990207553
389,0.937388182,,,0.51856786
390,0.606493115,,,0
391,0.807045519,,,0.473494411
392,0.966266394,,,0.790470481
393,0.968636155,,,1.063429952
394,1.059708238,,,1.087396383
395,0.90516144,,,0.944603562
396,0.733058214,,,0.751113713
397,1.09252584,,,0.926956892
398,1.027797937,,,1.057606101
399,0.890148044,,,0.780587077
400,0.726581275,,,0.605725765
401,0.549521506,,,0
402,1.037531257,,,0.748544693
403,1.003631473,,,0.887599826
404,1.01251924,,,1.135884762
405,0.801027298,,,0.892168462
406,0.726578891,,,0.654250383
407,0.812811434,,,0.557824492
408,1.17246139,,,1.0684762
409,0.976691663,,,0.892146826
410,0.806153655,,,0.691042781
411,0.988106787,,,0.408002317
412,0.563571155,,,0
413,0.753682971,,,0.456179976
414,0.974327683,,,0.866128683
415,0.912730575,,,0.886580586
416,0.967062593,,,0.925143957
417,0.707562745,,,0.618885696
418,0.888416469,,,0.941925943
419,1.168791652,,,1.211692929
420,0.921712637,,,0.954902112
421,0.846935451,,,0.822505295
422,0.933100343,,,0.597728729
423,0.41271013,,,0
424,0.828506112,,,0.508497477
425,0.986451924,,,0.721339822
426,1.031292558,,,0.993945599
427,0.846269131,,,0.832987547
428,0.708182514,,,0.653863668
429,0.622353911,,,0.508596539
430,0.919276595,,,0.893420398
431,0.952022672,,,0.818040669
432,0.863064766,,,0.676287115
433,0.782173276,,,0.534409523
434,0.564581156,,,0
435,0.739511609,,,0.464222372
436,0.87092483,,,0.655434489
437,0.782014847,,,0.744831324
438,0.801857054,,,0.794909358
439,0.491761535,,,0.531904995
440,0.64258492,,,0.615350306
441,0.858952701,,,1.021758556
442,0.875689387,,,0.758328199
443,0.735080957,,,0.592118859
444,0.678349376,,,0.484291762
445,0.404117852,,,0
446,0.788201332,,,0.409865916
447,0.618355989,,,0.471231937
448,0.581600666,,,0.546202838
449,0.715314746,,,0.678116024
450,0.595835686,,,0.56019038
451,0.524088025,,,0.431944489
452,0.689976752,,,0.716219425
453,0.646874428,,,0.659275413
454,0.596046329,,,0.441310704
455,0.566777468,,,0.342915595
456,0.41790095,,,0
457,0.587625682,,,0.326048523
458,0.698552608,,,0.58502841
459,0.847155929,,,0.918236494
460,0.751933873,,,0.748472095
461,0.499879241,,,0.466650575
462,0.596927762,,,0.477564067
463,0.741335273,,,0.631929696
464,0.743492126,,,0.707636237
465,0.792870402,,,0.642384112
466,0.729633868,,,0.462366641
467,0.403060049,,,0
468,0.825095534,,,0.520837307
469,0.577893198,,,0.483923316
470,0.886902571,,,0.832986355
471,0.73178184,,,0.763634205
472,0.635560274,,,0.529470623
473,0.526671827,,,0.59395951
474,1.031973124,,,0.953945637
475,0.701721907,,,0.587124109
476,0.762767553,,,0.578677416
477,0.563804865,,,0.319698632
478,0.370014757,,,0
479,0.531428337,,,0.362029701
480,0.590959549,,,0.545299053
481,0.649797678,,,0.820850372
482,0.517575264,,,0.639643729
483,0.437539846,,,0.518027484
484,0.509581983,,,0.486174107
485,0.594770491,,,0.614830256
486,0.623137832,,,0.579266787
487,0.619455218,,,0.522913814
488,0.455525637,,,0.276356667
489,0.44960475,,,0
490,0.568060994,,,0.330842137
491,0.56131506,,,0.542765558
492,0.719423294,,,0.735848665
493,0.788521469,,,0.657127559
494,0.487843931,,,0.592262924
495,0.498358488,,,0.420380801
496,0.6435287,,,0.773964167
497,0.72436595,,,0.612497807
498,0.617827773,,,0.511248052
499,0.57400018,,,0.353793323
500,0.400021255,,,0
501,0.636697352,,,0.315952629
502,0.581584871,,,0.470142663
503,0.713921547,,,0.678514004
504,0.759529948,,,0.722996831
505,0.430716455,,,0.410337716
506,0.483312994,,,0.364528149
507,0.613151133,,,0.57705909
508,0.573470891,,,0.631197512
509,0.679733753,,,0.500109076
510,0.653156638,,,0.40033108
511,0.336382568,,,0
512,0.67841959,,,0.303840339
513,0.659381032,,,0.524466515
514,0.723999381,,,0.758139849
515,0.760990739,,,0.680262685
516,0.496112466,,,0.475884467
517,0.559449732,,,0.412340045
518,0.681948841,,,0.70335722
519,0.743094802,,,0.657982409
520,0.769844294,,,0.610427856
521,0.590272307,,,0.361544669
522,0.462327182,,,0
523,0.681021333,,,0.353666782
524,0.791692257,,,0.531416833
525,0.849804759,,,0.828933895
526,0.77722466,,,0.823705196
527,0.890043497,,,0.62827307
528,0.511756063,,,0.519760966
529,0.849161267,,,0.796735168
530,0.798644543,,,0.827308774
531,0.726133704,,,0.781003356
532,0.826821208,,,0.524058938
533,0.514273763,,,0
534,1.044872999,,,0.57592535
535,1.318146944,,,1.071953058
536,1.26106739,,,1.399907589
537,1.108137727,,,0.972104073
538,0.703725636,,,0.61070323
539,0.757065058,,,0.739673078
540,1.181568623,,,1.176762819
541,1.264364719,,,1.337017059
542,1.314791203,,,0.981255233
543,0.751211643,,,0.480254978
544,0.527291298,,,0
545,0.72373271,,,0.427972227
546,0.785210669,,,0.647486687
547,0.86400789,,,0.767906606
548,0.860182285,,,0.790101171
549,0.664417684,,,0.526834786
550,0.582141042,,,0.500033379
551,0.728960454,,,0.659867942
552,0.758983016,,,0.833051085
553,0.733653665,,,0.620716155
554,0.684212983,,,0.405573189
555,0.522847474,,,0
556,0.68680191,,,0.409026146
557,0.738474965,,,0.646556616
558,0.837703586,,,0.838627875
559,0.736890137,,,0.752674103
560,0.579307377,,,0.555619717
561,0.546930194,,,0.404445738
562,0.724957168,,,0.7464692
563,0.777473569,,,0.794481039
564,0.750349164,,,0.636519432
565,0.608633399,,,0.391294569
566,0.428013504,,,0
567,0.570334911,,,0.354275197
568,0.806547523,,,0.587499022
569,0.690280616,,,0.747696638
570,0.700962424,,,0.744639695
571,0.493068874,,,0.499403864
572,0.651007056,,,0.488077283
573,0.632461429,,,0.690456629
574,0.871780813,,,0.827784777
575,0.674408793,,,0.541657507
576,0.536289632,,,0.321271479
577,0.405465454,,,0
578,0.545671821,,,0.316105723
579,0.939434767,,,0.539277673
580,0.654888451,,,0.67266053
581,0.673782527,,,0.598461986
582,0.665309906,,,0.663279891
583,0.533775806,,,0.400387943
584,0.650367737,,,0.658794761
585,0.664595127,,,0.751037002
586,0.6674698,,,0.570085347
587,0.515518427,,,0.283841819
588,0.450023174,,,0
589,0.54916203,,,0.280446917
590,0.598573685,,,0.549252987
591,0.762030005,,,0.895839989
592,0.709377289,,,0.757214606
593,0.504722714,,,0.402799875
594,0.513987064,,,0.45015344
595,0.520013452,,,0.600607038
596,0.580845952,,,0.600128472
597,0.697369337,,,0.563864768
598,0.642707705,,,0.330011308
599,0.40503794,,,0
600,0.713336229,,,0.384844363
601,0.760798812,,,0.605149567
602,1.182320476,,,1.200395584
603,0.912341833,,,1.062273979
604,0.695959449,,,0.596974492
605,0.671672761,,,0.534457743
606,0.886958182,,,1.021866083
607,1.017148733,,,0.997994721
608,1.212273836,,,1.144025087
609,0.969901741,,,0.683484375
610,0.489661664,,,0
611,0.848451376,,,0.60488373
612,0.954420149,,,0.879393578
613,1.074466348,,,1.017289639
614,0.980724394,,,0.973513842
615,0.681419969,,,0.626807094
616,0.563681006,,,0.456212789
617,0.827498198,,,0.850812554
618,1.022547722,,,0.910057664
619,1.074900389,,,0.883126616
620,0.897871614,,,0.515880764
621,0.529307008,,,0
622,0.737797618,,,0.545847416
623,0.887773275,,,0.880608439
624,1.008630395,,,1.065038562
625,0.933630049,,,0.815369487
626,0.591965318,,,0.607376933
627,0.576799035,,,0.506902277
628,0.808134317,,,0.827583194
629,0.976847529,,,0.845933795
630,0.88430202,,,0.748262525
631,0.703971565,,,0.412533641
632,0.446050704,,,0
633,0.659942746,,,0.411836386
634,0.858308613,,,0.611562014
635,0.954125762,,,0.800265014
636,0.865407467,,,0.851082802
637,0.667886257,,,0.582964361
638,0.718538284,,,0.54420799
639,0.905811965,,,0.901695609
640,1.005334854,,,0.855715573
641,0.772030115,,,0.720495582
642,0.85049665,,,0.533975601
643,0.676213682,,,0
644,0.980904043,,,0.670661449
645,1.192937136,,,0.984924793
646,1.118609548,,,1.045416951
647,0.851563632,,,0.903412163
648,0.524540186,,,0.67478478
649,0.758187771,,,0.917538226
650,1.131605387,,,1.126418233
651,1.083336949,,,1.010927677
652,0.915895283,,,0.592891097
653,0.739114404,,,0.346290141
654,0.493630469,,,0
655,0.673379064,,,0.356098413
656,0.744580865,,,0.543754041
657,0.589106619,,,0.647135735
658,0.63427943,,,0.773674488
659,0.437897533,,,0.526432872
660,0.791400135,,,0.633920074
661,0.758456349,,,0.719528317
662,0.80480814,,,0.833537638
663,0.580528855,,,0.474990726
664,0.541746497,,,0.283235669
665,0.411765814,,,0
666,0.577920437,,,0.28733182
667,0.839842856,,,0.496864974
668,0.728167057,,,0.642032504
669,0.731747568,,,0.683727324
670,0.459371865,,,0.527430296
671,0.509536624,,,0.50510639
672,0.711244822,,,0.668104768
673,0.756580293,,,0.697711587
674,0.67002964,,,0.484186321
675,0.557325184,,,0.342180014
676,0.475393623,,,0
677,0.69218111,,,0.430460215
678,0.801182687,,,0.587578535
679,0.717798948,,,0.643553257
680,0.624996781,,,0.630038977
681,0.496267647,,,0.497020632
682,0.567116916,,,0.547200859
683,0.878188729,,,0.903345585
684,0.677038193,,,0.706859112
685,0.776201725,,,0.421706825
686,0.71655643,,,0.475391954
687,0.60282743,,,0
688,0.677546382,,,0.436667979
689,0.828220248,,,0.711033225
690,0.955319822,,,0.870495617
691,0.874444902,,,0.731185317
692,0.706519186,,,0.470114678
693,0.78774035,,,0.707432389
694,0.91562438,,,0.905193329
695,0.836604238,,,0.887072325
696,0.818267107,,,0.647684276
697,0.566848516,,,0.326099455
698,0.470491856,,,0
699,0.578546822,,,0.387008876
700,0.788319588,,,0.790115833
701,0.895561278,,,0.901063144
702,0.716436148,,,0.660235763
703,0.560942411,,,0.534778655
704,0.615856767,,,0.529291272
705,0.707398355,,,0.734139025
706,0.799631715,,,0.614083409
707,0.778800964,,,0.50850153
708,0.62711966,,,0.369868815
709,0.490339011,,,0
710,0.75095582,,,0.415288746
711,0.888784289,,,0.764267325
712,1.09694159,,,1.055468082
713,0.845448971,,,0.898733675
714,0.578862429,,,0.605220437
715,0.591653883,,,0.647094309
716,0.860059857,,,0.967307687
717,1.020303011,,,0.894637585
718,1.119501829,,,0.808974922
719,0.717846394,,,0.333055556
720,0.419769704,,,0
721,0.619099259,,,0.349687785
722,0.810946822,,,0.584767699
723,0.877687395,,,0.891222477
724,1.099390626,,,1.073330998
725,0.640933752,,,0.590322435
726,0.568742454,,,0.533139169
727,0.741217017,,,0.723059475
728,0.799220383,,,0.850373209
729,0.842146277,,,0.805890918
730,0.903284788,,,0.599909425
731,0.414529264,,,0
732,0.605702758,,,0.353686184
733,0.631996393,,,0.475125849
734,0.611185551,,,0.658046365
735,0.677804053,,,0.723134518
736,0.547474384,,,0.459175795
737,0.578780591,,,0.466340959
738,0.681189179,,,0.734102786
739,0.592850685,,,0.617832482
740,0.566809952,,,0.478768408
741,0.49875015,,,0.286308944
742,0.412953615,,,0
743,0.602010667,,,0.300356477
744,0.662138462,,,0.570998192
745,0.940353453,,,0.764906764
746,0.993717194,,,0.969408274
747,0.650179565,,,0.663979888
748,0.408876657,,,0.362704217
749,0.573160708,,,0.571583986
750,0.648509502,,,0.602310658
751,0.611667395,,,0.46435675
752,0.745046377,,,0.396330178
753,0.440889329,,,0
754,0.540733159,,,0.286577761
755,0.626181245,,,0.428559959
756,0.75021404,,,0.701536775
757,0.919346631,,,0.954116821
758,0.824030995,,,0.769726336
759,0.45633015,,,0.390829921
760,0.509161234,,,0.56656146
761,0.765445948,,,0.644374132
762,0.607979298,,,0.465703875
763,0.598585844,,,0.267480105
764,0.417269826,,,0
765,0.758905888,,,0.294816673
766,0.725452185,,,0.470184445
767,0.732905149,,,0.762767792
768,0.81883204,,,0.767476201
769,0.545479059,,,0.441245437
770,0.666041017,,,0.645773172
771,0.848113239,,,0.798960626
772,0.711392164,,,0.655179977
773,0.610887945,,,0.56266886
774,0.656604886,,,0.447125584
775,0.398397207,,,0
776,0.684604347,,,0.363766253
777,0.617143691,,,0.484527886
778,0.641042173,,,0.813615322
779,0.765058398,,,0.846058369
780,0.830845118,,,0.827259004
781,0.471513063,,,0.481927574
782,0.781095564,,,0.761821151
783,0.521566272,,,0.60113287
784,0.573720157,,,0.539818823
785,0.602431953,,,0.342278808
786,0.389257789,,,0
787,0.604007244,,,0.43054226
788,0.826814592,,,0.692082942
789,1.229262352,,,1.169887781
790,1.496238112,,,1.560236096
791,1.005887985,,,1.119968772
792,0.499100566,,,0.464982867
793,0.739912987,,,0.722040772
794,0.879104972,,,0.902849197
795,0.947035074,,,0.611494601
796,0.879675984,,,0.363642186
797,0.601187587,,,0
798,0.723644137,,,0.473238856
799,0.877559364,,,0.70615828
800,0.761621475,,,0.87719667
801,0.845803261,,,0.848789394
802,0.649152935,,,0.59581995
803,0.717258155,,,0.586498439
804,0.798207045,,,0.801982522
805,0.992269993,,,0.880365849
806,0.924103558,,,0.656702816
807,0.566040874,,,0.345219612
808,0.532370031,,,0
809,0.7594679,,,0.344464242
810,0.720850408,,,0.674754977
811,1.077780604,,,0.940219223
812,0.729409754,,,0.847755075
813,0.566022575,,,0.55821389
814,0.823532462,,,0.911121249
815,1.126948953,,,0.933216453
816,1.035155177,,,0.976308703
817,1.457300067,,,1.311008215
818,0.604005933,,,0.444090009
819,0.403109759,,,0
820,0.752574027,,,0.406178415
821,0.690454841,,,0.509199739
822,0.756776333,,,0.785005808
823,0.766114354,,,0.833373666
824,0.585861921,,,0.526821792
825,0.503492713,,,0.396002144
826,0.805903912,,,0.759294927
827,0.733984292,,,0.708208919
828,0.642356515,,,0.564587891
829,0.601270914,,,0.350135922
830,0.568641067,,,0
831,0.676835716,,,0.339069694
832,1.025682569,,,0.639878035
833,0.949538469,,,1.241973758
834,1.120886087,,,1.146762967
835,0.714675069,,,0.726782739
